pkey,Topic_Title,categorytype,notes,active,sdate,mdate,addedby,modedby,thefile,strength,subCategory,link
29,"World Clocks",Server-Side,"Counts when page is loaded<hr />Has Pacific, Central, Eastern, and Japan built in.",1,"2006-01-24 19:43:13","2007-09-21 10:27:00",shawn,shawn,worldclock.cfm,0,ColdFusion,NULL
31,"Changing the cursor picture",Client-Side,"this.style.cursor=&#39;pointer&#39;<hr /><script>function tdpoint(input){ input.style.cursor=''pointer''; }</script>

<table cellspacing=""0""><tr>
<td  onMouseOver=""tdpoint(this)""></td>
</tr></table>

SOME CURSORS:
n-resize
pointer
crosshair
move
hand
wait",1,"2006-01-30 21:50:16","2007-09-21 10:51:56",shawn,shawn,,0,DHTML,NULL
32,"FOR ( aka loop )",Client-Side,"<hr />
<p>for(i=0; i &lt; 15; ++i){ the looping process }  for(prior to loop; stop when; what happens ever loop){ the looping process }</p>",1,"2006-01-30 22:33:21","2008-12-01 13:43:00",shawn,shawn,NULL,0,JavaScript,NULL
33,"Class Style Change",Client-Side,"this.className=&#39;classname&#39;;<hr />onMouseOver=""this.className='classname';""",1,"2006-01-30 22:36:31","2007-09-21 10:50:24",shawn,shawn,,3,DHTML,NULL
34,"Add Printing Page Break after table.",Client-Side,"page-break-after: always;<hr /><table style=""page-break-after: always;"">
<tr><td>test</td></tr></table>",1,"2006-02-02 14:19:07","2007-09-21 11:04:26",shawn,shawn,,0,DHTML,NULL
37,"Request CGI.VARIABLES",Server-Side,"cgi.remote_addr &amp; cgi.remote_host<hr />remote_addr ( IP Number )
remote_host
auth_type
content_length
content_type
path_info
path_translated
query_string
remote_user
request_method
script_name",1,"2006-03-09 19:31:18","2007-09-21 10:28:13",shawn,shawn,,0,ColdFusion,NULL
38,"Page Attributes",Client-Side,"Attributes about a page request<hr />document.URL
document.domain
document.referer
document.title",1,"2005-10-28 20:02:19","2007-10-08 15:48:43",shawn,shawn,,4,JavaScript,NULL
40,"No Profanity in forms",Client-Side,"<p>&lt;script&gt;<br />// Courtesy of SimplytheBest.net - http://simplythebest.net/scripts/<br />var k = 20;<br />var isProfane = new makeArray(k);<br />var word = new makeArray(k);<br />function checkForProfanity(elnum) {<br />var temp = document.forms[0].elements[elnum].value;<br />temp = temp.toLowerCase();<br />word[1] = ""shit"";<br />word[2] = ""nerd"";<br />word[3] = ""stupid"";<br />word[4] = ""ass"";<br />word[5] = ""cunt"";<br />word[6] = ""suck"";<br />word[7] = ""pussy"";<br />word[8] = ""cock"";<br />word[9] = ""cum"";<br />word[10] = ""penis"";<br />word[11] = ""nuts"";<br />word[12] = ""dick"";<br />word[13] = ""fuck"";<br />word[14] = ""ass"";<br />word[15] = ""fag"";<br />word[16] = ""idiot"";<br />word[17] = ""asshole"";<br />word[18] = ""bitch"";<br />word[19] = ""gimp"";<br />word[20] = ""freak"";<br />for (var j = 1; j &amp;lt;= k; j++) {<br />isProfane[j] = temp.indexOf(word[j]);<br />}<br />for (var j = 1; j &amp;lt;= k; j++) {<br />&nbsp;&nbsp; if (isProfane[j] != -1) {<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; alert(""Please refrain from using the word \''""+word[j]+""\''."");<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; document.forms[0].elements[elnum].value = """";<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; j = k + 1;<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; document.forms[0].elements[elnum].focus();<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; }<br />&nbsp;&nbsp; else {}<br />}<br />}<br />function makeArray(n) {<br />&nbsp;&nbsp; this.length = n<br />&nbsp;&nbsp; for (var i = 1; i&amp;lt;=n; i++) {<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; this[i] = new String();<br />&nbsp;&nbsp; }<br />&nbsp;&nbsp; return this<br />}<br />&lt;/script&gt;</p>",1,"2005-10-29 12:13:43","2008-05-14 11:39:34",shawn,shawn,NULL,0,JavaScript,NULL
42,"Auto Tab",Client-Side,"<p>&lt;script type=""text/javascript""&gt;<br />&lt;!--<br />var s;</p>
<p>function finder(evt){<br />&nbsp;&nbsp;&nbsp; evt=(evt) ? evt : ((event) ? event : null);<br />&nbsp;&nbsp;&nbsp; if(evt.charCode){<br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; s=evt.charCode;<br />&nbsp;&nbsp;&nbsp; }else if(evt){<br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; s=evt.keyCode;<br />&nbsp;&nbsp;&nbsp; }<br />}<br /><br />document.onkeydown=finder;<br /><br />function autotab(input,charchar){<br />&nbsp;&nbsp;&nbsp; if(input.value.length==charchar &amp;&amp; s!=9 &amp;&amp; s!=37 &amp;&amp; s!=39 &amp;&amp; s!=8){ <br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; for(i=0; i &lt;= input.form.length; ++i){ if(input == input.form[i]){ ++i; <br />if(input.form[i].style.display=='none' || input.form[i].type=='hidden'){ ++i }<br />input.form[i].focus(); i=input.form.length; } } <br />&nbsp;&nbsp;&nbsp; } <br />}</p>
<p>// --&gt;<br />&lt;/script&gt;<br />&lt;input onkeyup=""autotab(this4)"" /&gt;</p>",1,"2005-10-29 19:11:27","2008-08-25 16:56:44",shawn,shawn,NULL,0,JavaScript,NULL
43,"While ( aka LOOP )",Client-Side,"<hr />
<p>var i=0, index=-1;   while (i &lt; input.form.length &amp;&amp; index == -1){ i++;  if(input == input.form[i]){ i++; input.form[i].focus(); index=i; }</p>",1,"2005-10-29 19:16:22","2008-12-01 13:43:02",shawn,shawn,NULL,0,JavaScript,NULL
47,"Window Actions",Client-Side,"<p>window.open(""http://www.virgindata.com"",""window-name"",""height=200,width=400,status=yes,toolbar=no,menubar=no,location=no"");</p>
<p>window.location(''''http://www.virgindata.com'''')&nbsp; YOU CAN ALSO OUTPUT THE WINDOWS CURRENT</p>
<p>LOCATION:<br />&lt;script type=""text/javascript""&gt;alert(window.location);&lt;/script&gt;</p>
<p>ALSO: window.name</p>",1,"2005-11-19 12:30:47","2008-08-12 16:47:57",shawn,shawn,NULL,4,JavaScript,NULL
48,"Scroll Text",Client-Side,"from website<hr />",1,"2005-12-09 21:56:37","2007-09-21 10:50:16",shawn,shawn,text_scroll.txt,0,DHTML,NULL
49,"Prompt for Input",Client-Side,"Require input from user<hr /><html>
<head>

</head>
<body>
<script type=""text/javascript"">
var name = prompt(""Please enter your name"","""")
if (name != null && name != """")
{
document.write(""Hello "" + name)
}
</script>

</body>
</html>",1,"2005-12-11 19:45:27","2007-09-21 10:50:15",shawn,shawn,,0,DHTML,NULL
50,"HTML to PDF",Server-Side,"Never used... from CF South Florida<hr />",1,"2005-12-24 15:49:09","2007-09-21 10:28:14",shawn,shawn,html2pdf.zip,0,ColdFusion,NULL
52,"Image Evaluation with Crop",Server-Side,"High end image CFX Application<hr />",1,"2005-12-24 15:52:42","2007-09-21 10:28:15",shawn,shawn,CFX_IMG_eval.zip,0,ColdFusion,NULL
59,"Replace Commands",Client-Side,"<hr />replace whats inbetween here: / / with whats in here:

this.value=this.value.replace(/ /,''); (replaces one case)

this.value=this.value.replace(/ /g,''); (replaces all cases)

BackSlash '' \ '' escapes characters.",1,"2006-01-27 11:02:18","2007-09-21 10:52:02",shawn,shawn,,4,DHTML,NULL
64,"String Search ( contains )",Client-Side,"<p>this.value.search(/ /)</p>
<hr />
<p>if( this.value.search(/\./) &gt;= 0 ){ this.value CONTAINS A PERIOD }</p>
<p><strong>Search for the non-exsistence of a space</strong>: if(this.value.search(/ /)==-1){  }</p>
<p><strong>Search for first case of a space</strong>: this.value.search('' '');</p>
<p><strong>Searching for a period must be escaped to be found</strong>: this.value.search(/[.]/);</p>
<p><strong>EMAIL SEARCH</strong> : if(T.value.search(''@'') &lt;= 0 || T.value.search(/[.]/) &lt;= 1){ fail message }</p>
<p><span style=""color: #ff0000;"">CASE INSENTATIVE SEARCH</span>: string.search(/what-to-look-for/i)</p>",1,"2006-02-03 12:35:38","2011-03-07 12:29:06",shawn,shawn,NULL,4,DHTML,NULL
67,setTimeout(),Client-Side,"setTimeOut(document.form.input.value=&quot;,1000)<hr />setTimeout(function,time)",1,"2006-04-03 15:09:27","2007-09-21 10:52:10",shawn,shawn,,0,DHTML,NULL
68,NoWrap,Client-Side,"<p>white-space: nowrap</p>
<hr />
<p>white-space: nowrap</p>",1,"2006-04-04 10:53:13","2008-06-01 10:42:57",shawn,shawn,NULL,0,CSS,NULL
69,"Get at By Position ( left mid right )",Server-Side,"Left() Mid() Right()<hr />Left(var,positions)
Mid(var,positionFROMleft,positions)
Right(var,positions)",1,"2006-04-11 16:34:54","2007-09-21 10:28:16",shawn,shawn,,0,ColdFusion,NULL
70,DISTINCT,Server-Side,"<p>Select DISTINCT fieldname FROM</p>
<hr />
<p>Alot like GROUP BY, but group by has far better functionality. Use Group By instead</p>",1,"2006-04-12 12:45:11","2008-10-21 15:29:48",shawn,shawn,NULL,3,"MS SQL",NULL
71,IN,Server-Side,"Database function to find several objects<hr />SELECT fieldname FROM table WHERE fieldname IN (1,2,3,4)

or

SELECT fieldname FROM table WHERE fieldname IN (''shawn'',''Gab'',''Luke'')",1,"2006-04-12 15:20:35","2007-09-21 10:28:19",shawn,shawn,,0,"MS SQL",NULL
72,Marquee,Client-Side,"<Marquee><hr />",1,"2006-04-12 20:24:55","2006-04-12 20:24:55",shawn,shawn,,0,HTML,NULL
73,ListQualify,Server-Side,"ListQualify(list, qualifier [, delimiters ] [, elements ])<hr /><cfset var=""shawn,gab,luke"">
#listqualify(var,chr(34),chr(44),""all"")#

will out put:
""shawn"",""gab"",""luke""",1,"2006-04-13 16:55:36","2007-09-21 10:28:22",shawn,shawn,,0,ColdFusion,NULL
74,"Create Table",Server-Side,"<hr />CREATE TABLE [HomeLoan] (
  [lkey] int IDENTITY(1, 1) NOT NULL,
  PRIMARY KEY CLUSTERED ([lkey])
)
ON [PRIMARY]
GO",1,"2006-04-17 14:46:42","2007-09-21 11:40:50",shawn,shawn,,0,"MS SQL",NULL
75,"Rename Field",Server-Side,"<hr />EXEC sp_rename '[dbo].[TableName].[FieldName]', 'NewFieldName', 'COLUMN'
GO",1,"2006-04-17 14:50:14","2007-09-21 11:43:00",shawn,shawn,,0,"MS SQL",NULL
76,"Remove field",Server-Side,"<hr />ALTER TABLE [dbo].[users]
DROP COLUMN [tester]
GO",1,"2006-04-17 14:51:28","2007-09-21 11:40:59",shawn,shawn,,4,"MS SQL",NULL
77,"Cookie Controls",Server-Side,"<hr />CREATE COOKIES:
( expire on close )
<cfcookie name=""CookieName"" value=""#CookieValue#"" domain=""#cgi.host#"">
( expire never )
<cfcookie name=""CookieName"" value=""#CookieValue#"" expires=""never""domain=""#cgi.host#"">


REMOVE COOKIES:
<cfcookie name=""CookieName"" expires=""now"" domain=""#cgi.host#"">
<cfset temp=deleteclientvariable(""CookieName"")>",1,"2006-04-17 16:26:01","2007-09-21 10:28:25",shawn,shawn,,5,ColdFusion,NULL
78,"Detect if Cookies are enabled",Client-Side,"navigator.cookieEnabled<hr />if(navigator.cookieEnabled){ doing this is ok } else { doing this because cookies disabled }",1,"2006-04-17 16:38:17","2007-09-21 10:52:11",shawn,shawn,,0,DHTML,NULL
79,"Modifying Columns",Server-Side,"<p>ALTER TABLE Table-Name 	ALTER COLUMN Column-Name text(150) nul</p>
<hr />
<p>ALTER TABLE table-name DROP COLUMN column-name</p>",1,"2006-04-18 19:00:40","2009-07-25 17:35:09",shawn,shawn,NULL,4,"MS SQL",NULL
80,"Clear all records in DB table",Server-Side,"DELETE FROM TableName<hr /><cfquery datasource=""DataSourceName"">
DELETE FROM TableName
</cfquery>",1,"2006-04-19 11:08:14","2007-09-21 11:43:05",shawn,shawn,,0,"MS SQL",NULL
81,"Cookie Functions",Client-Side,"<p>document.cookie="""";</p>
<p><strong>To Set the cookie</strong>: document.cookie='cookie-name=cookie-value;Expires=ExpireTime;domain=DomainName'</p>
<p><strong>Simpliest Cookie</strong>: document.cookie='cookie-name=cookie-value';<span style=""color: #c0c0c0;""><span style=""background-color: #ffffff;"">/*cookie for current domain will expire when browser window is closed*/ </span></span></p>
<p><strong>To Retrieve the cookie</strong>:<br />&lt;script type=""text/javascript""&gt;&lt;!--<br />&nbsp;&nbsp;&nbsp; var cookieArray = document.cookie.split('';'');<br />&nbsp;&nbsp;&nbsp; var cookiesArray = new Array();<br /><br />&nbsp;&nbsp;&nbsp; for( var i=0; i &lt; cookieArray.length; ++i){<br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; var cookArray = cookieArray[i].split(''='');<br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; cookiesArray[i] = new Array();<br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; cookiesArray[i][0] = cookArray[0];<br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; cookiesArray[i][1] = cookArray[1];<br />&nbsp;&nbsp;&nbsp; }<br /><br />&nbsp;&nbsp;&nbsp; alert(''Number of Cookies: '' + cookiesArray.length);<br /><br />&nbsp;&nbsp;&nbsp; for( x=0; x &lt; cookiesArray.length; ++x ){<br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; if(!confirm(x+'' - ''+cookiesArray[x][0]+'' = ''+cookiesArray[x][1])){ break }<br />&nbsp;&nbsp;&nbsp; }<br />// --&gt;&lt;/script&gt;</p>",1,"2006-04-19 13:48:00","2008-11-25 14:20:53",shawn,shawn,NULL,3,JavaScript,http://www.quirksmode.org/js/cookies.html
82,"DateAdd(datePart, amount, time)",Server-Side,"<p>DateAdd(""d"",15,now())</p>
<hr />
<p>#dateto#  yyyy - year</p>",1,"2006-04-21 19:04:13","2011-05-24 11:01:43",shawn,shawn,NULL,5,ColdFusion,NULL
83,DateDiff(),Server-Side,"DateDiff(&quot;DatePart&quot;,DateOne,DateTwo)<hr />#datediff('s',5,10)#",1,"2006-04-22 14:58:52","2007-09-21 10:28:28",shawn,shawn,,0,ColdFusion,NULL
84,"DHTML goodies",Client-Side,"<p>Place with a lot of DHMTL extra's and such.</p>",1,"2006-04-24 13:15:05","2008-04-08 11:27:45",shawn,shawn,NULL,0,DHTML,http://www.cross-browser.com/toys/
85,NumberFormat(),Server-Side,"<p>NumberFormat(8)</p>
<hr />
<p>NumberFormat(8, 00) will add the zero if less then 9.... not sure what else to use this for.</p>",1,"2006-04-24 15:03:34","2010-09-07 14:21:54",shawn,shawn,NULL,3,ColdFusion,http://www.cfquickdocs.com/cf8/#NumberFormat
86,DE(),Server-Side,"DE(&quot;0&quot;&amp;9)<hr />DE(''0''&pop)

de() stands for delay evaluation... which in this case; DE(pop) means; dont evaluate the value of the variable pop... if you used pop only, then coldfusion will try to evaluate the value of the variable pop (which is a number) and you will get an error",1,"2006-04-24 15:05:54","2007-09-21 10:31:51",shawn,shawn,,0,ColdFusion,NULL
87,cfFunction,Server-Side,"cfFUNCTION , cfArgument &amp; cfReturn<hr /><cffunction name=""getfilmtitle"">
<cfarguement name=""filmid"" type=""numeric"" required=""yes"">
( the type is not require, but will throw error if type requirement is not met )
<!--- and then write basic CF code to create the purpose of this function --->
<cfreturn the.variableORstring>
</cffunction>

ReturnTypes:
    * any
    * array
    * binary
    * boolean
    * date
    * guid - The argument must be a UUID or GUID of the form xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx where each x is a character representing a hexadecimal number (0-9A-F).
    * numeric
    * query
    * string
    * struct
    * uuid - The argument must be a ColdFusion UUID of the form xxxxxxxx-xxxx-xxxx-xxxxxxxxxxxxxxxx where each x is a character representing a hexadecimal number (0-9A-F).
    * variableName: a string formatted according to ColdFusion variable naming conventions.
    * a component name - If the type attribute value is not one of the preceding items, ColdFusion treats it as the name of a ColdFusion component. When The function executes, it generates an error if the argument that is passed in is not a CFC with the specified name.",1,"2006-04-26 13:23:36","2007-09-21 10:39:39",shawn,shawn,,5,ColdFusion,NULL
88,QuotedValueList,Server-Side,"QuotedValueList(QUERY.COLUMNROW)<hr />Will produce a list seperated by quotes.

also can specify delimiter: #QuotedValueList(query.columnrow,chr(10))#",1,"2006-04-30 16:55:35","2007-09-21 10:31:54",shawn,shawn,,4,ColdFusion,NULL
90,select(),Client-Side,"input.select()<hr />Must be an Input",1,"2006-05-02 20:26:34","2007-09-21 10:55:32",shawn,shawn,,2,DHTML,NULL
91,"Date/Time Parts ( DatePart Time Part )",Server-Side,"Single Characters indicating date/time parts<hr />D - Day
H - Hour
M - Month
N - Minute
Q - Quater
S - Second
W - Weekday ( day of week )
WW - Week
Y - Day of Year
YYYY - Year",1,"2006-05-03 00:22:49","2007-09-21 10:31:56",shawn,shawn,,3,ColdFusion,NULL
92,"Shorting Strings",Server-Side,"<hr /><cfset x=""Shawn the main man acker"">
<cfif len(x) gte 35>
     <cfset x=insert(""{"",x,35)><cfset x=listgetat(x,1,""{"")&""..."">
</cfif>",1,"2006-02-06 00:18:28","2007-09-21 10:32:02",shawn,shawn,,0,ColdFusion,NULL
93,"Setting Global Values",Client-Side,"_global.variable=2;<hr />_global.variable=2;",1,"2006-02-06 00:49:11","2007-09-21 11:31:26",shawn,shawn,,3,FLASH,NULL
94,"Windows based Page Transistions",Client-Side,"Windows based browsers only.<hr />n=1.0
blendTrans(Duration=n)  				Blend
revealTrans(Duration=n,Transition=0) 	Box in
revealTrans(Duration=n,Transition=1) 	Box out
revealTrans(Duration=n,Transition=2) 	Circle in
revealTrans(Duration=n,Transition=3) 	Circle out
revealTrans(Duration=n,Transition=4) 	Wipe up
revealTrans(Duration=n,Transition=5) 	Wipe down
revealTrans(Duration=n,Transition=6) 	Wipe right
revealTrans(Duration=n,Transition=7) 	Wipe left
revealTrans(Duration=n,Transition=8) 	Vertical Blinds
revealTrans(Duration=n,Transition=9) 	Horizontal Blinds
revealTrans(Duration=n,Transition=10) 	Checkerboard across
revealTrans(Duration=n,Transition=11) 	Checkerboard down
revealTrans(Duration=n,Transition=12) 	Random Disolve
revealTrans(Duration=n,Transition=13) 	Split vertical in
revealTrans(Duration=n,Transition=14) 	Split vertical out
revealTrans(Duration=n,Transition=15) 	Split horizontal in
revealTrans(Duration=n,Transition=16) 	Split horizontal out
revealTrans(Duration=n,Transition=17) 	Strips left down
revealTrans(Duration=n,Transition=18) 	Strips left up
revealTrans(Duration=n,Transition=19) 	Strips right down
revealTrans(Duration=n,Transition=20) 	Strips right up
revealTrans(Duration=n,Transition=21) 	Random bars horizontal
revealTrans(Duration=n,Transition=22) 	Random bars vertical
revealTrans(Duration=n,Transition=23) 	Random",1,"2006-02-06 10:59:25","2007-09-21 11:39:45",shawn,shawn,,0,"Internet Explorer",NULL
95,"Setting the Window Status",Client-Side,"window.status=&quot;hello&quot;<hr />window.status=""Contents highlighted and copied to clipboard!""",1,"2006-02-06 22:25:52","2007-09-21 10:55:33",shawn,shawn,,0,DHTML,NULL
96,"Evaluating a String",Client-Side,"<p>eval(""document.""+theField)</p>
<hr />
<p>function All(theField) { 	var tempval=eval(''document.''+theField); }  <input onclick=""all(this)"" value=""test"" /> !!! SET DYNAMIC VARIABLES LIKE THIS:  for(i=0; i &lt;= ii; ++i){ eval(''i''+i+''=document.form.fieldname[i].value'') }</p>",1,"2006-02-06 22:49:24","2009-01-05 19:39:39",shawn,shawn,NULL,0,JavaScript,NULL
